t,x,x_dot,x_ddot,theta,theta_dot,theta_ddot,F,M_true,m_true,l_true,b_true,c_true,g
1.000000e-03,2.828650e-06,6.983502e-03,8.306860e+00,3.021598e+00,1.307637e-02,1.519476e+01,7.993711e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
6.000000e-03,1.414032e-04,4.841044e-02,8.263804e+00,3.021853e+00,8.885502e-02,1.511564e+01,7.956233e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
1.100000e-02,4.865715e-04,8.962041e-02,8.220071e+00,3.022486e+00,1.642221e-01,1.503013e+01,7.918660e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
1.600000e-02,1.037240e-03,1.306100e-01,8.175651e+00,3.023495e+00,2.391456e-01,1.493822e+01,7.880999e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
2.100000e-02,1.792298e-03,1.713758e-01,8.130529e+00,3.024877e+00,3.135936e-01,1.483990e+01,7.843253e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
2.600000e-02,2.750619e-03,2.119141e-01,8.084679e+00,3.026630e+00,3.875339e-01,1.473513e+01,7.805426e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
3.100000e-02,3.911054e-03,2.522213e-01,8.038072e+00,3.028751e+00,4.609341e-01,1.462387e+01,7.767525e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
3.600000e-02,5.272440e-03,2.922935e-01,7.990672e+00,3.031238e+00,5.337616e-01,1.450605e+01,7.729554e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
4.100000e-02,6.833590e-03,3.321266e-01,7.942440e+00,3.034088e+00,6.059836e-01,1.438162e+01,7.691519e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
4.600000e-02,8.593300e-03,3.717164e-01,7.893330e+00,3.037297e+00,6.775666e-01,1.425048e+01,7.653425e+00,1.000000e+00,3.000000e-01,6.200000e-01,1.000000e-02,1.000000e-01,9.810000e+00
