epoch,total_loss,data_loss,physics_loss,validation_loss,validation_r2_x_ddot,validation_r2_theta_ddot
1.000000000e+00,1.050556614e+01,8.090942940e-01,9.696471849e+00,8.624122773e-01,1.973669818e-01,1.260287432e-01
2.000000000e+00,8.072744883e+00,7.135578773e-01,7.359187006e+00,7.352549288e-01,4.123156563e-01,1.695408564e-01
3.000000000e+00,7.588156554e+00,6.952255427e-01,6.892931011e+00,6.924353174e-01,5.182672785e-01,1.545358541e-01
4.000000000e+00,7.361231751e+00,6.872643112e-01,6.673967440e+00,6.741195526e-01,5.442128301e-01,1.652346382e-01
5.000000000e+00,7.188077077e+00,6.662394898e-01,6.521837588e+00,6.603652003e-01,5.871480084e-01,1.525501701e-01
6.000000000e+00,7.040756915e+00,6.430873362e-01,6.397669579e+00,6.400213499e-01,6.030825912e-01,1.758163595e-01
7.000000000e+00,6.881495634e+00,6.111667391e-01,6.270328895e+00,6.089412192e-01,6.241492436e-01,2.142564808e-01
8.000000000e+00,6.736814410e+00,5.998127061e-01,6.137001704e+00,6.009194545e-01,6.402770129e-01,2.147329664e-01
9.000000000e+00,6.550580057e+00,5.766643346e-01,5.973915722e+00,5.785212261e-01,6.663690725e-01,2.327962835e-01
1.000000000e+01,6.338025935e+00,5.227684836e-01,5.815257451e+00,5.206771785e-01,6.855057951e-01,3.220706326e-01
1.100000000e+01,6.080130702e+00,5.073708900e-01,5.572759812e+00,5.011977889e-01,7.047564775e-01,3.408202475e-01
1.200000000e+01,5.751534808e+00,4.698900487e-01,5.281644759e+00,4.648499508e-01,7.086548239e-01,4.040979911e-01
1.300000000e+01,5.317757662e+00,4.279572693e-01,4.889800393e+00,4.195503372e-01,7.356699692e-01,4.633846837e-01
1.400000000e+01,4.847340815e+00,3.813097661e-01,4.466031049e+00,3.707344499e-01,7.495448560e-01,5.407352565e-01
1.500000000e+01,4.362873821e+00,3.403586446e-01,4.022515177e+00,3.223316595e-01,7.692222351e-01,6.122011073e-01
1.600000000e+01,3.878446486e+00,2.956415693e-01,3.582804917e+00,2.764767498e-01,7.835755364e-01,6.836936917e-01
1.700000000e+01,3.406898904e+00,2.635455995e-01,3.143353305e+00,2.446850129e-01,7.933688426e-01,7.333999170e-01
1.800000000e+01,2.958643164e+00,2.271465817e-01,2.731496582e+00,2.116521080e-01,8.076515605e-01,7.814181584e-01
1.900000000e+01,2.584944714e+00,2.093929346e-01,2.375551780e+00,1.939977931e-01,8.074299633e-01,8.140210650e-01
2.000000000e+01,2.260794254e+00,1.966638444e-01,2.064130409e+00,1.791483505e-01,8.218874157e-01,8.285064736e-01
2.100000000e+01,2.004711936e+00,1.770094138e-01,1.827702522e+00,1.648170920e-01,8.293481597e-01,8.482221725e-01
2.200000000e+01,1.781527323e+00,1.593108210e-01,1.622216502e+00,1.485922353e-01,8.514258940e-01,8.584999457e-01
2.300000000e+01,1.608990691e+00,1.477497324e-01,1.461240959e+00,1.372744215e-01,8.575637640e-01,8.738527582e-01
2.400000000e+01,1.441945269e+00,1.367579802e-01,1.305187289e+00,1.277008002e-01,8.702528955e-01,8.802158968e-01
2.500000000e+01,1.322121898e+00,1.254643346e-01,1.196657564e+00,1.183543228e-01,8.803313740e-01,8.884685546e-01
2.600000000e+01,1.198942414e+00,1.171877076e-01,1.081754707e+00,1.087203771e-01,8.945467010e-01,8.935940550e-01
2.700000000e+01,1.093667279e+00,1.108038634e-01,9.828634154e-01,1.047863042e-01,8.958695562e-01,8.996469085e-01
2.800000000e+01,1.001851792e+00,9.908535580e-02,9.027664363e-01,9.344011882e-02,9.100118113e-01,9.079800383e-01
2.900000000e+01,9.207467600e-01,8.932926643e-02,8.314174936e-01,8.520177907e-02,9.212568521e-01,9.131679025e-01
3.000000000e+01,8.498514310e-01,8.441223048e-02,7.654392005e-01,7.942276052e-02,9.255187138e-01,9.200108574e-01
3.100000000e+01,7.834921556e-01,7.686049859e-02,7.066316570e-01,7.229313225e-02,9.346184318e-01,9.250588793e-01
3.200000000e+01,7.207162649e-01,6.935125993e-02,6.513650050e-01,6.534820528e-02,9.438847951e-01,9.296206254e-01
3.300000000e+01,6.702693024e-01,6.357977405e-02,6.066895284e-01,6.072969796e-02,9.487808820e-01,9.337729597e-01
3.400000000e+01,6.205587672e-01,5.902851497e-02,5.615302522e-01,5.745137344e-02,9.519766662e-01,9.369673825e-01
3.500000000e+01,5.716473540e-01,5.384977416e-02,5.177975798e-01,5.183210782e-02,9.597501417e-01,9.404146251e-01
3.600000000e+01,5.294178492e-01,4.859811450e-02,4.808197347e-01,4.787195218e-02,9.624131315e-01,9.453313670e-01
3.700000000e+01,4.933438942e-01,4.492431768e-02,4.484195766e-01,4.375393747e-02,9.664482862e-01,9.493255942e-01
3.800000000e+01,4.583195470e-01,3.867131320e-02,4.196482338e-01,3.771863342e-02,9.714888568e-01,9.559510209e-01
3.900000000e+01,4.272455266e-01,3.676676549e-02,3.904787611e-01,3.724209340e-02,9.736171873e-01,9.549454308e-01
4.000000000e+01,4.009485843e-01,3.458640621e-02,3.663621780e-01,3.478368286e-02,9.772686454e-01,9.562321976e-01
4.100000000e+01,3.733966153e-01,2.963731555e-02,3.437592998e-01,3.025144337e-02,9.794105345e-01,9.626594700e-01
